representation,parent_id,rank_group,mutant_id,parent_fitness,mutant_fitness,delta_fitness,status,genotype
Final F1,2,middle,7,0.1850322262351971,0.009920252704474353,-0.17511197353072275,feasible,"((c(FfLQX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,8,0.1850322262351971,0.0011577445693499928,-0.1838744816658471,feasible,"((c(FfLX[T][Sin, 5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1, -3:1][Delay, 3:1, 0:1, -3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1, -6:1]FLFX[|, -4:1])"
Final F1,2,middle,9,0.1850322262351971,0.01564580638047803,-0.16938641985471908,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.996]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,10,0.1850322262351971,0.7194109559129915,0.5343787296777944,feasible,"((c(FfLX[Sin, 5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1, -3:1][Delay, 3:1, 0:1, -3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1, -6:1]FLFX[|, -4:1])"
Final F1,2,middle,11,0.1850322262351971,0.1758019923168424,-0.009230233918354702,feasible,"l((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,12,0.1850322262351971,0.0006812254902232265,-0.18435100074497388,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1])"
Final F1,2,middle,13,0.1850322262351971,0.1269139691064739,-0.058118257128723205,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:-1.1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,14,0.1850322262351971,0.03372064629050483,-0.15131157994469227,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.969]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,15,0.1850322262351971,0.2820846312013365,0.09705240496613937,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FcLFX[|, -4:1])"
Final F1,2,middle,16,0.1850322262351971,0.1299666907437246,-0.0550655354914725,feasible,"f((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,17,0.1850322262351971,-0.010014039452891107,-0.19504626568808822,feasible,"((c(DXFfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,18,0.1850322262351971,0.09277491021445254,-0.09225731602074456,feasible,"(r(c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,19,0.1850322262351971,0.21699862070275325,0.03196639446755614,feasible,"((c(FfLX[Sin,5:1]XrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,20,0.1850322262351971,0.262365650929156,0.07733342469395887,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:-2.527, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,3,middle,1,1.695086870406392,0.2703429843376244,-1.4247438860687676,feasible,"(FX, DXrLfqX[Delay, 5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935])"
Final F1,3,middle,2,1.695086870406392,0.9924721614256651,-0.7026147089807269,feasible,"FXDXrLlfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
