genotype_index,genotype,perfperiod,lifespan,distance,velocity
31,RXX(XCcLX[S]XX),20,10000.0,0.0011116417627616369,1.1116417627616369e-07
32,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-23.499]",20,10000.0,25.1940300321322,0.00251940300321322
33,"(rrX(lX(llX,),lXMMMMX[|1:1.378,s:0]rrX[T:-0.407]l(LlX,,LlX),))",20,10000.0,0.02271112793551503,2.2711127935515034e-06
34,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-2.097][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",20,10000.0,336.729745393719,0.0336729745393719
35,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:0.623], X))",20,10000.0,163.99842354554605,0.016399842354554606
36,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.206,fo:1]RRX(X, X)",20,10000.0,0.7186539282010754,7.186539282010754e-05
37,"RRLLLLFFFFX[*][Sin][N,-1:-19.155,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",20,10000.0,10.862185953572851,0.001086218595357285
38,XX(XCcLX[S]XX),20,10000.0,0.0,0.0
39,"X[S]rrX[G][-1:80][|, -1:-0.027]fX[|, -2:-23.499]",20,10000.0,22.291033320285916,0.0022291033320285918
0,X,100,10000.0,0.0,0.0
1,X(X),100,10000.0,0.0,0.0
2,"RXX(X,CXXX)",100,10000.0,1.6051526391352296e-10,1.6051526391352297e-14
3,"XrrX[G][-1:80][|,-1:0.9]X[|,-2:-21]",100,10000.0,18.295214875584247,0.0018295214875584246
4,"(rrX(lX(llX[T:1],),lXMMMMX[|1:2,-1:-3]rrX[T:-0.407](LlX,,LlX),))",100,10000.0,10.278116588464275,0.0010278116588464275
5,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][0:-1.331][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",100,10000.0,161.22642304359903,0.0161226423043599
