representation,walk_id,rank_group,initial_fitness,final_fitness,net_change,mean_fitness,mean_step_change,step_change_std,minimum_fitness,maximum_fitness,steps_above_start,infeasible_points
f4,4-15,high,1.4408015916247017,0.23453178750657644,-1.2062698041181252,0.5010309111183306,-0.04020899347060417,0.27366796242087,0.08578187775333654,1.4408015916247017,0,0
f4,4-16,best,1.4988645628432997,0.9391120700799507,-0.559752492763349,0.4045943448025877,-0.018658416425444965,0.3332981465360397,0.08988501098999217,1.4988645628432997,0,0
f4,4-17,best,1.5972174473207914,0.08713648269278054,-1.510080964628011,0.389733122616613,-0.05033603215426704,0.2964427455975035,0.016875633067237387,1.6121752555452047,5,0
f4,4-18,best,1.8625467393203274,0.046902678439056454,-1.815644060881271,0.40030885665022375,-0.06052146869604237,0.30746967702121764,0.046902678439056454,1.8625467393203274,0,0
f4,4-19,best,1.9376687046147625,0.1267437135141993,-1.8109249911005632,0.5186360964404265,-0.06036416637001877,0.21149034767336128,0.1114866526799565,1.9376687046147625,0,0
f4,4-20,best,2.223677782275789,0.6092481319596066,-1.6144296503161824,0.36767494528493094,-0.05381432167720609,0.3317012005474692,0.08168437222468734,2.2236777822757947,1,0
f9,9-1,worst,0.29763778695088533,0.1493122276204048,-0.14832555933048053,0.21819414684158922,-0.004944185311016017,0.07442181990609693,0.09951769231050775,0.3748384995235921,3,0
f9,9-2,worst,0.44634671246041435,0.20774513841300396,-0.2386015740474104,0.23085361819968878,-0.007953385801580346,0.1566592440334664,0.00024841263092990234,0.4463485105553209,1,0
f9,9-3,worst,0.5017941764264753,0.18365317206242956,-0.3181410043640457,0.20955395616781453,-0.010604700145468193,0.11589478790671358,0.06874392907339995,0.5053354050419364,1,0
f9,9-4,worst,0.5276736432571427,0.24459789712603036,-0.28307574613111236,0.2827859479863896,-0.009435858204370413,0.12097529766047554,0.06922243971122868,0.5276736432571427,0,0
f9,9-5,worst,0.5929922535856106,0.06907736570309826,-0.5239148878825123,0.30229673906701376,-0.017463829596083745,0.22238337220962917,0.06907736570309826,0.6922732292966912,1,0
f9,9-6,medium,0.6299791659835987,0.14117704323639058,-0.48880212274720813,0.20709290939853195,-0.0162934040915736,0.09953887739451178,0.057491752814580604,0.6299791659835987,0,0
f9,9-7,medium,0.68445340894463,0.39306139027416703,-0.291392018670463,0.30904450288625873,-0.009713067289015434,0.11828532335791186,0.11635815924151904,0.68445340894463,0,0
f9,9-8,medium,0.7348313170335047,0.22608352367262788,-0.5087477933608768,0.29252370210186696,-0.016958259778695892,0.12378640688969796,0.12674988205887358,0.7348313170335047,0,0
f9,9-9,medium,0.7533341425582133,0.289043809668772,-0.46429033288944127,0.3333825763090579,-0.015476344429648037,0.1488719151482787,0.058067466745365434,0.7533341425582133,0,0
f9,9-10,medium,0.7538730986188049,0.3254155080939584,-0.4284575905248465,0.2652053385928331,-0.01428191968416155,0.10929833931515227,0.08508636926606211,0.7538730986188049,0,0
f9,9-11,high,0.7542250447018342,0.23683483054560228,-0.5173902141562319,0.2626484026286882,-0.017246340471874403,0.17196059035657427,0.14808794287861884,0.7542250447018342,0,0
f9,9-12,high,0.7582748874690542,0.2553327356949815,-0.5029421517740728,0.2626810839688703,-0.01676473839246909,0.2015337170850406,0.057919866308541894,0.7582748874690542,0,0
f9,9-13,high,0.7590057910440126,0.18098645214689316,-0.5780193388971194,0.2638433094830533,-0.019267311296570652,0.10542037451658276,0.06910533741929945,0.7590057910440126,0,0
f9,9-14,high,0.759122701748835,0.19330246399578194,-0.565820237753053,0.2500743995965887,-0.018860674591768434,0.12346271481088132,0.14690623278090603,0.759122701748835,0,0
f9,9-15,high,0.7592521203681829,0.2266416374912764,-0.5326104828769065,0.2561804220685859,-0.017753682762563557,0.1972515256275695,0.06873312628642919,0.7592521203681829,0,0
f9,9-16,best,0.7933140190274836,0.26675618745895074,-0.5265578315685329,0.2825939680232763,-0.017551927718951088,0.15171593087202986,0.12296388699824955,0.7933140190274836,0,0
f9,9-17,best,0.8002880876026528,0.17043499626934264,-0.6298530913333101,0.24227179600471868,-0.020995103044443672,0.13247215105756519,0.03754477307115144,0.8002880876026528,0,0
f9,9-18,best,0.8009823631270352,0.3027542917685828,-0.4982280713584524,0.28801758359927054,-0.01660760237861508,0.160062247081943,0.04964499623595927,0.8009823631270352,0,0
f9,9-19,best,0.8290920581647794,0.263954288749528,-0.5651377694152514,0.2959318857677647,-0.018837925647175048,0.17018473708363235,0.05785454214357487,0.8290920581647794,0,0
f9,9-20,best,0.9459989494693777,0.11912171268905795,-0.8268772367803198,0.2816873044769566,-0.027562574559343987,0.1532897077539704,0.11912171268905795,0.9459989494693777,0,0
