run,generation,genetic_format,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
2,8,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,9,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,10,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,11,0,0.0,-0.010099997378562976,-0.010099997378618563,3.645094084404577e-13
2,12,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,13,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,14,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,15,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,16,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,17,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
2,18,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,19,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,20,0,0.0,-0.010099997378562976,-0.010099997378618563,3.645094084404577e-13
2,21,0,0.0,-0.010099997378562976,-0.010099997378625691,3.8659335288150985e-13
2,22,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,23,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,24,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,25,0,0.0,-0.010099997378562976,-0.010099997378621208,3.7288063468126436e-13
2,26,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,0,0,0.0,-0.010399999294193912,-0.01039999929419391,1.734723475976807e-18
3,1,0,0.0,-0.010099997378562976,-0.010392978127080496,8.611721227910149e-05
3,2,0,0.0,-0.010099997378562976,-0.010265824122366183,0.00014356556031572867
3,3,0,0.0,-0.010099997378562976,-0.010118586249166119,6.966152074155083e-05
3,4,0,0.0,-0.010099997378562976,-0.01009999737861393,3.493291947471666e-13
3,5,0,0.0,-0.010099997378562976,-0.010116127951667157,8.102449009842032e-05
3,6,0,0.0,-0.010099997378562976,-0.010099997378562974,1.734723475976807e-18
3,7,0,0.0,-0.010099997378562976,-0.010099997378618563,3.645094084404577e-13
3,8,0,0.0,-0.010099997378562976,-0.010099997378619855,3.68623807650217e-13
3,9,0,0.0,-0.010099997378562976,-0.010099997378618563,3.645094084404577e-13
3,10,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,11,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,12,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
3,13,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
3,14,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,15,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,16,0,0.0,-0.010099997378562976,-0.010099997378624121,3.8185589837237215e-13
3,17,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,18,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
3,19,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
