category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f9,9-6,6,high,3,0.05750382642788335,/*9*/DFFLLBB,1
f9,9-6,6,high,4,0.06873984666893483,/*9*/DFFLLFB,1
f9,9-6,6,high,5,0.06873984666893483,/*9*/DFFLLF,1
f9,9-6,6,high,6,0.08451125704242216,/*9*/DFFRLF,1
f9,9-6,6,high,7,0.06875441284409509,/*9*/DFLFRLF,1
f9,9-6,6,high,8,0.057491752814580604,/*9*/DFLFRFF,1
f9,9-6,6,high,9,0.19941517503902975,/*9*/DULFRFF,1
f9,9-6,6,high,10,0.1954393304362647,/*9*/DULFRFLF,1
f9,9-6,6,high,11,0.19171263514561684,/*9*/DULFFLF,1
f9,9-6,6,high,12,0.19414603031570418,/*9*/DURFFLF,1
f9,9-6,6,high,13,0.19596655865530171,/*9*/DURFFDF,1
f9,9-6,6,high,14,0.3475442813604299,/*9*/DURFFDR,1
f9,9-6,6,high,15,0.27899362224385527,/*9*/DURFRDR,1
f9,9-6,6,high,16,0.23195527953408,/*9*/DURFRDL,1
f9,9-6,6,high,17,0.23505944117935457,/*9*/DURFRRL,1
f9,9-6,6,high,18,0.23195527953408,/*9*/DURFRDL,2
f9,9-6,6,high,19,0.23505944117935457,/*9*/DURFRRL,1
f9,9-6,6,high,20,0.23857733949471163,/*9*/DDURFRRL,2
f9,9-6,6,high,21,0.19958720911235275,/*9*/DDURUFRRL,1
f9,9-6,6,high,22,0.32783724913559653,/*9*/DDURFFRRL,1
f9,9-6,6,high,23,0.3816240522247221,/*9*/DDURFURRL,1
f9,9-6,6,high,24,0.1817876480959339,/*9*/DDURFURDL,1
f9,9-6,6,high,25,0.21501198473574878,/*9*/LDURFURDL,1
f9,9-6,6,high,26,0.19271412738889548,/*9*/LDUUFURDL,1
f9,9-6,6,high,27,0.2693892581261707,/*9*/LDDUFURDL,1
f9,9-6,6,high,28,0.23698560252152656,/*9*/LDRUFURDL,1
f9,9-6,6,high,29,0.1377772490980745,/*9*/RDRUFURDL,1
f9,9-6,6,high,30,0.14117704323639058,/*9*/RDRUBURDL,1
f9,9-7,7,high,0,0.68445340894463,/*9*/UFUFFDDRRUD,0
f9,9-7,7,high,1,0.30769409725765057,/*9*/UFUFFDDRRDD,1
f9,9-7,7,high,2,0.37946710127676125,/*9*/UFUFFDURRDD,1
f9,9-7,7,high,3,0.3602029822337873,/*9*/UFUFFDURRDU,1
f9,9-7,7,high,4,0.61310574261628,/*9*/UFBFFDURRDU,1
f9,9-7,7,high,5,0.5482429106198408,/*9*/UFBFFDURRDL,1
f9,9-7,7,high,6,0.3697631584689363,/*9*/UFBFFDURRBL,1
