category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f0,0-1,1,best,29,0.07698403589263061,"//0
p:fr=0.973
p:0.598, -0.078, -0.047, fr=0.893
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.295
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975, rotstif=0.826
j:0, 3, stif=0.904, rotstif=0.989
j:4, 2, stif=0.933
",1
f0,0-1,1,best,30,0.0769847725131465,"//0
p:fr=0.973
p:0.598, -0.078, -0.047, fr=0.893
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.295
p:0.332, 0.109, 1.502, fr=0.228, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975, rotstif=0.826
j:0, 3, stif=0.904, rotstif=0.989
j:4, 2, stif=0.933
",1
f0,0-2,2,best,0,0.26427672855677853,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223
j:0, 3, stif=0.927
j:2, 0
j:1, 2
j:4, 1
j:5, 0
",0
f0,0-2,2,best,1,0.26427672855677853,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223
j:0, 3, stif=0.927
j:2, 0, rotstif=0.865
j:1, 2
j:4, 1
j:5, 0
",1
f0,0-2,2,best,2,0.26427672855677853,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223
j:0, 3, stif=0.927
j:2, 0, rotstif=0.865
j:1, 2
j:4, 1
j:5, 0
",1
f0,0-2,2,best,3,0.2579341906542616,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927
j:2, 0, rotstif=0.865
j:1, 2
j:4, 1
j:5, 0
j:6, 5
",1
f0,0-2,2,best,4,0.2579341906542616,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927
j:2, 0, rotstif=0.865
j:1, 2
j:4, 1
j:5, 0
j:6, 5
",1
f0,0-2,2,best,5,0.17129109525417724,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927
j:6, 0, rotstif=0.865
j:1, 6
j:4, 1
j:5, 0
j:2, 5
",1
f0,0-2,2,best,6,0.17129109525417724,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927, rotstif=0.91
j:6, 0, rotstif=0.865
j:1, 6
j:4, 1
j:5, 0
j:2, 5
",1
f0,0-2,2,best,7,0.17129109525417724,"//0
p:-0.41, -0.066, -0.092
p:1.0
p:-0.04, -0.658, -0.796
p:0.558, 0.836, -0.27, ing=0.241
p:1.287, -0.199, 1.484
p:-0.494, -0.882, -0.223, fr=0.452
p:-0.065, -0.555, -0.092
j:0, 3, stif=0.927, rotstif=0.91
j:6, 0, rotstif=0.865
j:1, 6
j:4, 1
j:5, 0
j:2, 5, rotstif=0.98
",1
