run,generation,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
1,60,0.05,0.7537839977131372,0.3733701386457141,0.25825093842532776
1,61,0.05,0.7528291293479322,0.3941184939987097,0.19912872325035758
1,62,0.05,0.7593774071308805,0.4129599052631036,0.18517785104590934
1,63,0.05,0.9620536983255829,0.39237357854117094,0.25392235760651666
1,64,0.05,0.9620536983255829,0.3795386402068175,0.23976667653102418
1,65,0.05,0.6516411705165803,0.33417575968825597,0.20442914425596947
1,66,0.05,0.7504019116127887,0.38226229184611726,0.1825205632636827
1,67,0.05,0.755205065354308,0.37783143206946307,0.19102587269568347
1,68,0.05,0.7594078920540914,0.37211040264057443,0.23055535597040566
1,69,0.05,0.7590740461863883,0.3334812107157588,0.22928266082514565
1,70,0.05,0.7594078920540914,0.32582311930249575,0.2122268545657664
1,71,0.05,0.6313666268197506,0.330705172545323,0.20410467504672103
1,72,0.05,0.7594078920540914,0.37655980712540776,0.2107084287699748
1,73,0.05,0.7594078920540914,0.3550890888681102,0.22941985187107847
1,74,0.05,0.7538350292268069,0.360853408802455,0.2129982006241316
1,75,0.05,0.7531782074445659,0.36900958454435817,0.1991380271243861
1,76,0.05,0.7591413372346053,0.35673891655215534,0.20336495846829172
1,77,0.05,0.7591413372346053,0.35048237821698913,0.19778921254884585
1,78,0.05,0.7537839977131372,0.35243067520925186,0.2165459405829337
1,79,0.05,0.753548416286227,0.35003021455362465,0.20226424656935332
1,80,0.05,0.786023247909417,0.4157029771720975,0.21224302732936076
1,81,0.05,0.7594078920540914,0.38316748957637115,0.21255904302832498
1,82,0.05,0.7550281411653883,0.39821946564209054,0.21097692264415482
1,83,0.05,0.7550281411653883,0.35723969867416444,0.2126382115755782
1,84,0.05,0.7137167881538166,0.3690981837541755,0.20387269247203746
1,85,0.05,0.753548416286227,0.3780871734848494,0.1931789729000374
1,86,0.05,0.753548416286227,0.4087870181420974,0.19965456146271485
1,87,0.05,0.753548416286227,0.36232645262069213,0.21752105866523122
1,88,0.05,0.7550000128991713,0.4072101116948679,0.2157043496830555
1,89,0.05,0.7550000128991713,0.43691289550301177,0.20448032826563695
2,0,0.05,0.14810951195883332,0.14810951195883335,2.7755575615628914e-17
2,1,0.05,0.30576147728963604,0.046944918412720645,0.08372091137703257
2,2,0.05,0.29833043094000095,0.09503777213453704,0.09858874131516839
2,3,0.05,0.3513445804883568,0.10675000914927972,0.12324790982956663
2,4,0.05,0.44379520209465007,0.11642065111641794,0.14092702387007652
2,5,0.05,0.439003423803487,0.16605909318364884,0.13127078435352038
2,6,0.05,0.45428081641845386,0.18239245761577053,0.14477449020189054
2,7,0.05,0.5213934893835567,0.17606817549162468,0.14554779387161554
2,8,0.05,0.7519154427885169,0.2186957036343484,0.16197396745457962
2,9,0.05,0.5213934893835567,0.20607016749574616,0.14577922483402844
2,10,0.05,0.44566096693090324,0.17431604806318224,0.14546513329617664
2,11,0.05,0.6460326153825227,0.2086262265893552,0.15211437581584988
2,12,0.05,0.44566096693090324,0.20086607360443304,0.12651131329644258
2,13,0.05,0.645602866269427,0.23331068943021316,0.14039784125428753
2,14,0.05,0.6455015397780786,0.21649147110137332,0.14554578045645483
2,15,0.05,0.645602866269427,0.26732574273510035,0.14477711084914668
2,16,0.05,0.645602866269427,0.20508854171914068,0.14222033888576197
2,17,0.05,0.4438473399938757,0.2323993482244575,0.13845617082989267
2,18,0.05,0.7518242012651843,0.2672543965379198,0.13643352142878043
2,19,0.05,0.7520300510199687,0.26022442910234733,0.16321060545932112
2,20,0.05,0.752412929216998,0.28243824882958235,0.16949329176113667
2,21,0.05,0.752412929216998,0.3104253829363483,0.15765591589654265
2,22,0.05,0.7535386361597708,0.25892298850939177,0.22205322125434712
2,23,0.05,0.752734390841878,0.29144495191932035,0.20751447754833394
2,24,0.05,0.753548416286227,0.3282902532637585,0.2432929267110338
2,25,0.05,0.7542250447018342,0.33896247577471045,0.23336536610260716
2,26,0.05,0.7523556123850209,0.23295432517814355,0.20599377698044755
2,27,0.05,0.7528086283132194,0.25572266864702586,0.1760256037995704
2,28,0.05,0.755205065354308,0.34137906204232427,0.18873783553871326
2,29,0.05,0.7528086283132194,0.24384641035715762,0.207335308698485
2,30,0.05,0.7528086283132194,0.3177783056552017,0.19776420410351744
2,31,0.05,0.7528086283132194,0.32732467019126615,0.1893535573513437
2,32,0.05,0.8005120118516332,0.2869731394949768,0.2249918658785896
2,33,0.05,0.8005120118516332,0.3454685328671301,0.18861277011537636
2,34,0.05,0.7045549408642723,0.3126932596832241,0.19877991999295525
2,35,0.05,0.7042970217790693,0.3232612087023677,0.20173787002270802
2,36,0.05,0.7532649484734693,0.40872525990704395,0.19641202384162615
2,37,0.05,0.752734390841878,0.42377311043239246,0.20488914386682217
2,38,0.05,0.7594078920540914,0.3530656448900298,0.21395550209524877
2,39,0.05,0.7594078920540914,0.3651558892607701,0.20661024708438605
2,40,0.05,0.7594078920540914,0.3865078378525717,0.2110665820147527
2,41,0.05,0.7530493508213869,0.3459137428079039,0.20441557807673968
2,42,0.05,0.7039898420013031,0.3556519563441335,0.2003390862349586
2,43,0.05,0.7517878646554815,0.34236097272405736,0.19793198784691168
2,44,0.05,0.7594078920540914,0.38386928740711873,0.22210468279318976
2,45,0.05,0.7523556123850209,0.35738039903018076,0.23255575591845867
2,46,0.05,0.7552036047732303,0.3427534567729225,0.19771681044733116
2,47,0.05,0.7552036047732303,0.4290215202920048,0.17586826268668845
2,48,0.05,0.7591413372346053,0.39228620373763434,0.22890774326429184
2,49,0.05,0.7591413372346053,0.41825865615530605,0.23345807658104908
2,50,0.05,0.7594078920540914,0.41543461253135516,0.23597316685865313
2,51,0.05,0.7594078920540914,0.45208558803773746,0.25036724080860195
2,52,0.05,0.7594078920540914,0.4019145927425608,0.2427842776596668
2,53,0.05,0.7594078920540914,0.336642125556164,0.21577023445347765
2,54,0.05,0.7519154427885169,0.3903773284817268,0.21695527204466145
2,55,0.05,0.7535171117030938,0.45744144525160846,0.1994857645526309
2,56,0.05,0.7532649484734693,0.3979798959319063,0.19957323587329065
2,57,0.05,0.759122701748835,0.39983392196461454,0.2567051460689121
2,58,0.05,0.7537839977131372,0.38461076303603287,0.2581202778976686
2,59,0.05,0.7533341425582133,0.37621419961138486,0.2789458748616425
2,60,0.05,0.752734390841878,0.38000476675068307,0.25961758681237357
2,61,0.05,0.752734390841878,0.36208515633197846,0.23915042279403764
2,62,0.05,0.753548416286227,0.36693919551468157,0.24165600759393155
2,63,0.05,0.753548416286227,0.2790264998853563,0.2317331066422218
2,64,0.05,0.7523556123850209,0.32635249159217045,0.22281255620840912
2,65,0.05,0.7045915931279212,0.28988214286132735,0.19615326526275387
2,66,0.05,0.753548416286227,0.29820984331913425,0.18450726441060963
2,67,0.05,0.753548416286227,0.27556253626944716,0.20789280871794158
2,68,0.05,0.7594078920540914,0.3160197815740309,0.16821452366617062
2,69,0.05,0.7594078920540914,0.32895808169631713,0.18470756122705706
2,70,0.05,0.7594078920540914,0.30599847690193527,0.19913176975689204
2,71,0.05,0.7594078920540914,0.386866425128142,0.21847638050250304
2,72,0.05,0.7594078920540914,0.35857875660566885,0.25292938497309186
2,73,0.05,0.7550281411653883,0.3999052150155253,0.20203624597231779
2,74,0.05,0.7538350292268069,0.4530646843770741,0.2064087673302844
2,75,0.05,0.7537839977131372,0.46789337068261105,0.18715853795127876
2,76,0.05,0.7518242012651843,0.34340473145100214,0.20156983516090432
2,77,0.05,0.8242198499844375,0.40206314684317607,0.20247025832735704
2,78,0.05,0.7550281411653883,0.3722230236539184,0.2174528040091898
2,79,0.05,0.7594078920540914,0.34457270053900985,0.1816896529895186
2,80,0.05,0.759122701748835,0.3622220563146032,0.18683598240692595
2,81,0.05,0.7520300510199687,0.3629597635461088,0.19894603433797226
2,82,0.05,0.7522766512852385,0.4250619283611241,0.1954244854004085
2,83,0.05,0.755205065354308,0.445069246144635,0.2102657360011308
2,84,0.05,0.7528086283132194,0.37372032958002266,0.24190911516006633
2,85,0.05,0.7594078920540914,0.3671302513515847,0.24891537657085158
2,86,0.05,0.7533341425582133,0.41724445890629225,0.22889913846671356
2,87,0.05,0.7594078920540914,0.3926463893683499,0.22941802323887814
2,88,0.05,0.7528086283132194,0.3079709034179298,0.22183800185231012
2,89,0.05,0.7530493508213869,0.4119340300123459,0.21653525290416337
2,90,0.05,0.7593549332092315,0.3364725431038548,0.20495265615677485
2,91,0.05,0.7532649484734693,0.29982176025256224,0.2041226857240352
2,92,0.05,0.7593774071308805,0.33442857489551786,0.1878183394960868
2,93,0.05,0.752734390841878,0.4479768832247945,0.1844408901656048
2,94,0.05,0.888494444890518,0.41895761907365864,0.2412673109570307
2,95,0.05,0.7523556123850209,0.3669811130364973,0.1993255454976309
2,96,0.05,0.8277895939718762,0.35234118840374207,0.1738963952370789
2,97,0.05,0.7342861204650017,0.3136612765462407,0.21247637428871105
2,98,0.05,0.7620525590221793,0.28955817134783507,0.1746166824470121
2,99,0.05,0.6944133925306302,0.32970141442830875,0.1438304476053198
2,100,0.05,0.6414142853788188,0.3549514189616474,0.1453492525105397
2,101,0.05,0.7305856786618553,0.39791692835613013,0.1591471826960937
2,102,0.05,0.7231471169169247,0.37317635360777274,0.16385076148640118
2,103,0.05,0.7305856786618553,0.359944209060639,0.14360023376848613
2,104,0.05,0.7153840829303841,0.3630444630205978,0.1502624075480135
2,105,0.05,0.7158870014630181,0.35979091924487017,0.14542131407217754
2,106,0.05,0.7158828969963045,0.3753785803227263,0.15284368550411315
2,107,0.05,0.7026376670372,0.34797057071848664,0.16722118967734587
2,108,0.05,0.6926184376139618,0.3732293176047893,0.14899190167831314
2,109,0.05,0.7158828969963045,0.3666303766135774,0.18018086707973968
2,110,0.05,0.7158828969963045,0.4021558495552536,0.15728916821308608
2,111,0.05,0.7158828969963045,0.34570824767645264,0.19408253771081618
2,112,0.05,0.6516411705165803,0.37117756921882,0.1831155085366131
2,113,0.05,0.6486288950479985,0.2833205901728027,0.1670965163716207
2,114,0.05,0.7172039610826713,0.35915691204132455,0.17899685737441923
2,115,0.05,0.7131430696294117,0.32755108420811596,0.18781844993518385
2,116,0.05,0.8034482824859475,0.3936115371327137,0.19262735359560737
2,117,0.05,0.6500035961219364,0.38085376889542255,0.16815522883384965
2,118,0.05,0.7532649484734693,0.3900507210880451,0.1930824467535068
2,119,0.05,0.7525025222254301,0.3500285274328166,0.18166361910224954
2,120,0.05,0.7525025222254301,0.30764501801964206,0.20124737532188774
