run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
16,1,65,2,"QLX[G]X[|,-1:2.337]MLqLLfLX[|,1:0.978,p:0.022,p:0.127][*]",0.002609475814736919,"QLX[G]X[|,-1:1]MLqLLfLX[|,1:0.978,p:0.022,p:0.127][*]"
16,1,105,3,"QLX[G]X[|,-1:2.424]MLqLLLX[|,1:0.978,p:0.093,p:0.127][*]",0.00367243972687937,"QLX[G]X[|,-1:2.424]MLqLLLX[|,1:0.978,p:0.022,p:0.127][*]"
17,1,0,0,X,0.0,
17,1,15,1,"QX[|,1:1]FXX[*][|,r:0.968,p:0.25,-1:0.938]X",0.00011342038260051863,"QX[|,1:1]FXX[*][|,r:0.968,p:0.25,-1:2.603]X"
17,1,29,2,"QX[|,1:1.518]XX[*][|,r:0.986,p:0.288,-1:0.847]qX",0.00011964457389784729,"QX[|,1:1]XX[*][|,r:0.986,p:0.288,-1:0.847]qX"
17,1,44,3,"QX[|,1:1,r:1]XX[*][|,r:0.986,p:0.288,-1:0.847]qX",0.00011964457389784729,"QX[|,1:1]XX[*][|,r:0.986,p:0.288,-1:0.847]qX"
18,1,0,0,X,0.0,
18,1,37,1,"L(rLQQX[|, 1:3.581,r:0.873][T] mFX[|,-1:1.165])",0.0021833662477324547,"L(rLQQX[|, 1:2.313,r:0.873][T] mFX[|,-1:1.165])"
18,1,71,2,"L(,rLQQX[|,r:0.873][T] mFLLX[|,-1:0.813])",0.0026626701830994096,"L(,rLQQX[|,r:0.873][T] mFLLX[|,-1:0.924])"
18,1,115,3,"L(,rLQQX[|,r:0.963][T] mFLLX[|,-1:-0.379])",0.003251134507380862,"L(,rLQQX[|,r:0.873][T] mFLLX[|,-1:-0.379])"
19,1,0,0,X,0.0,
19,1,3,1,"(, QqX[S]FX[|,-1:1])",0.0003106055714398759,"(, QqXFX[|])"
19,1,6,2,"R(, (QqXFX[|]))",0.0003393739801903451,"R(, QqXFX[|])"
19,1,13,3,"R(, QqXFX[N][|,-1:1])",0.0003393739801903451,"R(, QqXFX[|])"
2,1,0,0,X,0.0,
2,1,11,1,"(fXX[|, 1:0.985,r:1][*], FX)",3.4553618501079724e-05,"(fXX[|, 1:0.985][*], FX)"
2,1,38,2,"R(ffXrX[|][*], ,)",0.00010745066269375268,"R(ffXrX[|, 1:-0.001][*], ,)"
2,1,41,3,"R(ffX[S]rX[|, 1:-0.001][*], , )",0.00016354175961912193,"R(ffXrX[|, 1:-0.001][*], ,)"
20,1,0,0,X,0.0,
20,1,28,1,"RLcCLX[|,2:-2.125][G][S]QX",0.0003154656947061421,"RLcCLX[|,2:1][G][S]QX"
20,1,56,2,"RcfLcCLX[|,2:-1.161][G][S]RRX",0.00033527443440186755,"RcfLcCLX[|,2:1][G][S]RRX"
20,1,84,3,"RmfLcCLX[|,2:1,r:1][G][S]RRX",0.00040655875322249165,"RmfLcCLX[|,2:1][G][S]RRX"
21,1,0,0,X,0.0,
21,1,35,1,"(rrLLmCLX[|, 1:-38.45,p:0.25][T, ry:-0.544], X)",0.0003278711610411546,"(rrLLmCLX[|, 1:-37.212,p:0.25][T, ry:-0.544], X)"
21,1,78,2,"RC(rrLLmCLX[|, 1:-49.147,p:0.315][T]X, X)",0.002060518237179821,"RC(rrLLmCLX[|, 1:-49.734,p:0.315][T]X, X)"
21,1,104,3,"RC(rrLLmCLMX[|, 1:-50.17,p:0.315][T]X, X)",0.0021680911820620265,"RC(rrLLmCLX[|, 1:-50.17,p:0.315][T]X, X)"
22,1,0,0,X,0.0,
22,1,15,1,"QX[|,1:13.39][T][N,-1:2.494]",0.0004018586056731279,"QX[|,1:11.456][T][N,-1:2.494]"
22,1,30,2,"QX[|,1:12.252][T][N,-1:6.471]",0.0004530551707015338,"QX[|,1:12.252][T][N,-1:2.494]"
22,1,46,3,"QX[|,1:12.252][T][N,-1:1.924]",0.0004530551707015338,"QX[|,1:12.252][T][N,-1:2.494]"
23,1,0,0,X,0.0,
23,1,13,1,"rcX[*][Gpart][@,-1:4.555][|,-3:1,p:0.25]",5.834391433787609e-05,"rcX[*][Gpart][@,-1:4.555][|,-3:1]"
23,1,29,2,"XrcX[*][Gpart][@,-1:8.466][|,-3:3.918]",0.0002358509457659716,"XrcX[*][Gpart][@,-1:8.466][|,-3:1]"
23,1,43,3,"XrcX[*][Gpart][@,-1:8.466][|,-3:1.255]",0.0002358509457659716,"XrcX[*][Gpart][@,-1:8.466][|,-3:1]"
24,1,0,0,X,0.0,
24,1,30,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:1,r:1]X, fX,)"
24,1,60,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:1]cX, L(LfX, ))"
24,1,90,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:1], L(LfX ))"
25,1,0,0,X,0.0,
25,1,31,1,"CLqX[Gpart][|]FX[N, -2:1][@][|, -4:3.184]",0.001711009384554215,"CLqX[Gpart][|]FX[@][|,-3:3.184]"
25,1,62,2,"CLqX[N,1:1.602][Gpart][|,-2:1.129]FX[@][|,-3:6.225,r:1]",0.002660302026855146,"CLqX[N,1:1.602][Gpart][|,-2:1.129]FX[@][|,-3:6.225]"
25,1,101,3,"CLqX[N, 1:1.602][Gpart][|, -2:1.11]FX[Gpart][@][|, -4:6.711]",0.002752534256536553,"CLqX[N,1:1.602][Gpart][|,-2:1.11]FX[@][|,-3:6.711]"
26,1,0,0,X,0.0,
26,1,13,1,"mC(rlX[|, 1:0.975,r:1][*]X, RX)",3.57514310030059e-05,"mC(rlX[|, 1:0.8,r:1][*]X, RX)"
26,1,29,2,"mCX(rlX[|, 1:-1.108,r:0.891,r:1][*]LX, X)",8.551941520368002e-05,"mCX(rlX[|, 1:-1.438,r:0.891,r:1][*]LX, X)"
26,1,47,3,"mCX(rlX[|, 1:-5.426,r:0.891,r:1][*]LX, X)",8.551941520368002e-05,"mCX(rlX[|, 1:-1.438,r:0.891,r:1][*]LX, X)"
27,1,0,0,X,0.0,
27,1,7,1,"XlqcFX[|,1:2.568][S]X",7.621014485516365e-07,"XlqcFX[|,1:1][S]X"
27,1,14,2,"XlqcFX[|,1:2.856][S]X",7.621014485516365e-07,"XlqcFX[|,1:1][S]X"
27,1,22,3,"XlqcFX[|,1:3.551][S]X",7.621014485516365e-07,"XlqcFX[|,1:1][S]X"
28,1,0,0,X,0.0,
28,1,38,1,"(RXrcX[|, 1:10.834], RllMX[T, ry:0][Gpart, ry:0])",0.0004894681145989717,"(RXrcX[|, 1:13.395], RllMX[T, ry:0][Gpart, ry:0])"
28,1,64,2,"(RXrcX[|, 1:15.035], RllMX[T, ry:0][Gpart])",0.0005428830537819597,"(RXrcX[|, 1:15.035], RllMX[T, ry:0][Gpart, ry:0])"
28,1,102,3,"(RXrcX[|, 1:16.392], RllMX[T, ry:-0.974][Gpart, ry:-0.503])",0.0006609033374596395,"(RXrcX[|, 1:16.392], RllMX[T, ry:-0.974][Gpart, ry:0])"
29,1,0,0,X,0.0,
29,1,39,1,"CQCCfX[@,1:1]FX[*][@,-1:1,p:1]RLX[@,-2:0.473,p:0.951]",6.653212320749853e-05,"CQCCX[@,1:1]FX[*][@,-1:1,p:1]RLX[@,-2:0.473,p:0.951]"
29,1,80,2,"XCQCCfX[@,1:3.857]LXFX[*][@,-1:0.418,p:0.997,p:0.984]RRLLX[|,-2:1]",0.00018864264218214046,"XCQCCfX[@,1:3.857]LXFX[*][@,-1:0.418,p:0.997,p:0.984]RRLLX[|,-2:1][@,-3:1.599,p:0.784]"
29,1,121,3,"XCQCCX[@,1:3.857]LXFX[*][@,-1:0.418,p:0.997,p:0.984]RLLX[@,-2:0.841][|,-3:2.746]",0.00022515294024426594,"XCQCCX[@,1:3.857]LXFX[*][@,-1:0.418,p:0.997,p:0.984]RLLX[@,-2:0.841][|,-3:1]"
3,1,0,0,X,0.0,
3,1,14,1,"LmX[@,2:-5.017][|,1:0.165][*]",0.0005529173667742352,"LmX[@,2:-1.049][|,1:0.165][*]"
3,1,28,2,"RmLmCX[@,2:-0.198,p:1][|][*]",0.0016682165954716914,"RmLmCX[@,2:-0.198][|][*]"
